combination_id,list_of_advanced_third_placed_teams,1A,1B,1D,1E,1G,1I,1K,1L
C455,"['A', 'B', 'C', 'D', 'F', 'G', 'I', 'K']",3C,3G,3B,3D,3A,3F,3I,3K
C456,"['A', 'B', 'C', 'D', 'F', 'G', 'I', 'J']",3C,3G,3B,3D,3A,3F,3I,3J
C457,"['A', 'B', 'C', 'D', 'F', 'G', 'H', 'L']",3C,3G,3B,3D,3A,3F,3L,3H
C458,"['A', 'B', 'C', 'D', 'F', 'G', 'H', 'K']",3H,3G,3B,3C,3A,3F,3D,3K
C459,"['A', 'B', 'C', 'D', 'F', 'G', 'H', 'J']",3H,3G,3B,3C,3A,3F,3D,3J
C460,"['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I']",3H,3G,3B,3C,3A,3F,3D,3I
C461,"['A', 'B', 'C', 'D', 'E', 'J', 'K', 'L']",3E,3J,3B,3C,3A,3D,3L,3K
C462,"['A', 'B', 'C', 'D', 'E', 'I', 'K', 'L']",3E,3I,3B,3C,3A,3D,3L,3K
C463,"['A', 'B', 'C', 'D', 'E', 'I', 'J', 'L']",3E,3J,3B,3C,3A,3D,3L,3I
C464,"['A', 'B', 'C', 'D', 'E', 'I', 'J', 'K']",3E,3J,3B,3C,3A,3D,3I,3K
C465,"['A', 'B', 'C', 'D', 'E', 'H', 'K', 'L']",3H,3E,3B,3C,3A,3D,3L,3K
C466,"['A', 'B', 'C', 'D', 'E', 'H', 'J', 'L']",3H,3J,3B,3C,3A,3D,3L,3E
C467,"['A', 'B', 'C', 'D', 'E', 'H', 'J', 'K']",3H,3J,3B,3C,3A,3D,3E,3K
C468,"['A', 'B', 'C', 'D', 'E', 'H', 'I', 'L']",3H,3E,3B,3C,3A,3D,3L,3I
C469,"['A', 'B', 'C', 'D', 'E', 'H', 'I', 'K']",3H,3E,3B,3C,3A,3D,3I,3K
C470,"['A', 'B', 'C', 'D', 'E', 'H', 'I', 'J']",3H,3J,3B,3C,3A,3D,3E,3I
C471,"['A', 'B', 'C', 'D', 'E', 'G', 'K', 'L']",3E,3G,3B,3C,3A,3D,3L,3K
C472,"['A', 'B', 'C', 'D', 'E', 'G', 'J', 'L']",3E,3G,3B,3C,3A,3D,3L,3J
C473,"['A', 'B', 'C', 'D', 'E', 'G', 'J', 'K']",3E,3G,3B,3C,3A,3D,3J,3K
C474,"['A', 'B', 'C', 'D', 'E', 'G', 'I', 'L']",3E,3G,3B,3C,3A,3D,3L,3I
C475,"['A', 'B', 'C', 'D', 'E', 'G', 'I', 'K']",3E,3G,3B,3C,3A,3D,3I,3K
C476,"['A', 'B', 'C', 'D', 'E', 'G', 'I', 'J']",3E,3G,3B,3C,3A,3D,3I,3J
C477,"['A', 'B', 'C', 'D', 'E', 'G', 'H', 'L']",3H,3G,3B,3C,3A,3D,3L,3E
C478,"['A', 'B', 'C', 'D', 'E', 'G', 'H', 'K']",3H,3G,3B,3C,3A,3D,3E,3K
C479,"['A', 'B', 'C', 'D', 'E', 'G', 'H', 'J']",3H,3G,3B,3C,3A,3D,3E,3J
C480,"['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I']",3H,3G,3B,3C,3A,3D,3E,3I
C481,"['A', 'B', 'C', 'D', 'E', 'F', 'K', 'L']",3C,3E,3B,3D,3A,3F,3L,3K
C482,"['A', 'B', 'C', 'D', 'E', 'F', 'J', 'L']",3C,3J,3B,3D,3A,3F,3L,3E
C483,"['A', 'B', 'C', 'D', 'E', 'F', 'J', 'K']",3C,3J,3B,3D,3A,3F,3E,3K
C484,"['A', 'B', 'C', 'D', 'E', 'F', 'I', 'L']",3C,3E,3B,3D,3A,3F,3L,3I
C485,"['A', 'B', 'C', 'D', 'E', 'F', 'I', 'K']",3C,3E,3B,3D,3A,3F,3I,3K
C486,"['A', 'B', 'C', 'D', 'E', 'F', 'I', 'J']",3C,3J,3B,3D,3A,3F,3E,3I
C487,"['A', 'B', 'C', 'D', 'E', 'F', 'H', 'L']",3H,3F,3B,3C,3A,3D,3L,3E
C488,"['A', 'B', 'C', 'D', 'E', 'F', 'H', 'K']",3H,3E,3B,3C,3A,3F,3D,3K
C489,"['A', 'B', 'C', 'D', 'E', 'F', 'H', 'J']",3H,3J,3B,3C,3A,3F,3D,3E
C490,"['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I']",3H,3E,3B,3C,3A,3F,3D,3I
C491,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'L']",3C,3G,3B,3D,3A,3F,3L,3E
C492,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'K']",3C,3G,3B,3D,3A,3F,3E,3K
C493,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'J']",3C,3G,3B,3D,3A,3F,3E,3J
C494,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I']",3C,3G,3B,3D,3A,3F,3E,3I
C495,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",3H,3G,3B,3C,3A,3F,3D,3E
